ticket_id,title,status,priority,assigned_to,created_at,resolved_at,category
TK-001,Login page broken,Closed,High,alice@test.com,2026-01-05T10:00:00Z,2026-01-06T14:30:00Z,Bug
TK-002,Add dark mode,Open,Medium,bob@test.com,2026-01-10T09:00:00Z,,Feature
TK-003,Performance issue,Closed,Critical,alice@test.com,2026-01-12T08:00:00Z,2026-01-12T16:00:00Z,Bug
TK-004,Update docs,Open,Low,,2026-01-15T11:00:00Z,,Task
TK-005,Security patch,Closed,Critical,carol@test.com,2026-01-20T07:00:00Z,2026-01-20T09:30:00Z,Security
TK-006,UI alignment,Open,Low,bob@test.com,2026-02-01T10:00:00Z,,Bug
TK-007,API timeout,Closed,High,alice@test.com,2026-02-05T14:00:00Z,2026-02-07T11:00:00Z,Bug
TK-008,New report,Open,Medium,,2026-02-10T09:00:00Z,,Feature
TK-009,Memory leak,Closed,Critical,carol@test.com,2026-02-15T08:00:00Z,2026-02-16T10:00:00Z,Bug
TK-010,User feedback form,Open,Low,bob@test.com,2026-03-01T10:00:00Z,,Feature
